Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,3,110,2,Some Random Commen with Id 0
1,0,3,109,4,Some Random Commen with Id 1
2,0,3,179,3,Some Random Commen with Id 2
3,0,3,34,8,Some Random Commen with Id 3
4,0,3,130,4,Some Random Commen with Id 4
5,2,8,136,3,Some Random Commen with Id 5
6,3,0,61,2,Some Random Commen with Id 6
7,3,0,40,0,Some Random Commen with Id 7
8,3,0,127,1,Some Random Commen with Id 8
9,3,0,67,7,Some Random Commen with Id 9
10,3,0,112,4,Some Random Commen with Id 10
11,3,0,199,2,Some Random Commen with Id 11
12,3,0,185,0,Some Random Commen with Id 12
13,3,0,105,7,Some Random Commen with Id 13
14,4,4,0,7,Some Random Commen with Id 14
15,4,4,27,8,Some Random Commen with Id 15
16,4,4,107,2,Some Random Commen with Id 16
17,4,4,140,2,Some Random Commen with Id 17
18,4,4,84,7,Some Random Commen with Id 18
19,4,4,189,2,Some Random Commen with Id 19
20,4,4,26,4,Some Random Commen with Id 20
21,5,4,124,4,Some Random Commen with Id 21
22,5,4,197,8,Some Random Commen with Id 22
23,5,4,105,6,Some Random Commen with Id 23
24,5,4,45,9,Some Random Commen with Id 24
25,5,4,157,8,Some Random Commen with Id 25
26,5,4,168,1,Some Random Commen with Id 26
27,6,6,175,7,Some Random Commen with Id 27
28,6,6,157,6,Some Random Commen with Id 28
29,6,6,169,3,Some Random Commen with Id 29
30,6,6,191,1,Some Random Commen with Id 30
31,6,6,23,5,Some Random Commen with Id 31
32,6,6,187,7,Some Random Commen with Id 32
33,6,6,159,6,Some Random Commen with Id 33
34,6,6,70,1,Some Random Commen with Id 34
35,6,6,156,4,Some Random Commen with Id 35
36,7,2,43,6,Some Random Commen with Id 36
37,8,5,24,4,Some Random Commen with Id 37
38,8,5,182,6,Some Random Commen with Id 38
39,8,5,159,6,Some Random Commen with Id 39
40,8,5,58,4,Some Random Commen with Id 40
41,8,5,102,4,Some Random Commen with Id 41
42,8,5,132,8,Some Random Commen with Id 42
43,8,5,151,1,Some Random Commen with Id 43
44,9,6,180,1,Some Random Commen with Id 44
45,9,6,142,7,Some Random Commen with Id 45
46,9,6,43,8,Some Random Commen with Id 46
47,9,6,139,1,Some Random Commen with Id 47
48,9,6,81,1,Some Random Commen with Id 48
49,9,6,45,2,Some Random Commen with Id 49
50,9,6,139,9,Some Random Commen with Id 50
51,10,1,151,2,Some Random Commen with Id 51
52,11,2,97,5,Some Random Commen with Id 52
53,11,2,57,8,Some Random Commen with Id 53
54,11,2,169,9,Some Random Commen with Id 54
55,11,2,107,3,Some Random Commen with Id 55
56,11,2,130,8,Some Random Commen with Id 56
57,12,4,70,0,Some Random Commen with Id 57
58,12,4,121,2,Some Random Commen with Id 58
59,12,4,29,9,Some Random Commen with Id 59
60,12,4,149,4,Some Random Commen with Id 60
61,13,0,33,3,Some Random Commen with Id 61
62,13,0,9,6,Some Random Commen with Id 62
63,13,0,111,6,Some Random Commen with Id 63
64,13,0,117,4,Some Random Commen with Id 64
65,13,0,141,9,Some Random Commen with Id 65
66,13,0,99,4,Some Random Commen with Id 66
67,15,5,126,4,Some Random Commen with Id 67
68,15,5,61,9,Some Random Commen with Id 68
69,16,8,137,1,Some Random Commen with Id 69
70,16,8,129,5,Some Random Commen with Id 70
71,18,5,89,6,Some Random Commen with Id 71
72,18,5,50,1,Some Random Commen with Id 72
73,18,5,106,5,Some Random Commen with Id 73
74,18,5,108,8,Some Random Commen with Id 74
75,18,5,6,0,Some Random Commen with Id 75
76,19,9,176,5,Some Random Commen with Id 76
77,19,9,151,2,Some Random Commen with Id 77
78,19,9,156,2,Some Random Commen with Id 78
79,19,9,79,4,Some Random Commen with Id 79
80,19,9,61,8,Some Random Commen with Id 80
81,19,9,31,8,Some Random Commen with Id 81
82,19,9,73,4,Some Random Commen with Id 82
83,21,0,14,3,Some Random Commen with Id 83
84,21,0,155,5,Some Random Commen with Id 84
85,21,0,61,7,Some Random Commen with Id 85
86,22,0,87,2,Some Random Commen with Id 86
87,22,0,22,1,Some Random Commen with Id 87
